epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10913.9,1.16298,0.82908,1.12814,0.83048,0.70083,0.78754,0.48821,1.14568,0.80148,1.17271,0.0011882,0.0011882,0.0011882
43,11187.3,1.16218,0.82981,1.13348,0.79681,0.68607,0.76243,0.45511,1.21192,0.93126,1.24384,0.0011684,0.0011684,0.0011684
44,11453.8,1.16509,0.8338,1.13564,0.83707,0.72865,0.79453,0.49976,1.12145,0.76868,1.15624,0.0011486,0.0011486,0.0011486
45,11706.5,1.17033,0.83246,1.12505,0.79322,0.69492,0.77586,0.47392,1.22328,0.81684,1.23153,0.0011288,0.0011288,0.0011288
46,11959.7,1.14493,0.81072,1.10035,0.83062,0.71576,0.79389,0.49912,1.14022,0.76285,1.17181,0.001109,0.001109,0.001109
47,12211.4,1.14076,0.82614,1.10888,0.82236,0.72366,0.78726,0.493,1.15816,0.77882,1.19925,0.0010892,0.0010892,0.0010892
48,12464.1,1.17116,0.79571,1.1025,0.81568,0.73755,0.79541,0.50449,1.12029,0.75336,1.16735,0.0010694,0.0010694,0.0010694
49,12716.4,1.14935,0.79497,1.11407,0.81063,0.71014,0.77647,0.48816,1.16504,0.84299,1.22716,0.0010496,0.0010496,0.0010496
50,12970,1.17172,0.79356,1.11892,0.82451,0.71843,0.79022,0.47139,1.16657,0.81317,1.20524,0.0010298,0.0010298,0.0010298
51,13222.5,1.10838,0.76772,1.10099,0.82096,0.68829,0.7726,0.46563,1.25875,0.85725,1.29989,0.00101,0.00101,0.00101
52,13471.9,1.15045,0.79797,1.1174,0.74689,0.66253,0.71453,0.4133,1.35968,1.0739,1.45198,0.0009902,0.0009902,0.0009902
53,13721.9,1.13645,0.80686,1.10792,0.83308,0.71946,0.79085,0.50254,1.08021,0.71887,1.13207,0.0009704,0.0009704,0.0009704
54,13976.9,1.12028,0.79172,1.11031,0.80954,0.71843,0.79491,0.49727,1.11644,0.74719,1.17171,0.0009506,0.0009506,0.0009506
55,14236.4,1.13669,0.77577,1.11761,0.80887,0.74327,0.80008,0.50037,1.11355,0.72348,1.14844,0.0009308,0.0009308,0.0009308
56,14503.3,1.12622,0.789,1.11042,0.80209,0.71743,0.7785,0.47964,1.16194,0.80162,1.19519,0.000911,0.000911,0.000911
57,14759.9,1.09408,0.76796,1.09929,0.82205,0.69151,0.77608,0.47554,1.1758,0.7785,1.19359,0.0008912,0.0008912,0.0008912
58,15022.8,1.08763,0.75487,1.09576,0.79424,0.73913,0.79462,0.49652,1.1144,0.74607,1.15377,0.0008714,0.0008714,0.0008714
59,15278.9,1.09608,0.74937,1.08238,0.84252,0.72153,0.79597,0.49836,1.14058,0.77383,1.1906,0.0008516,0.0008516,0.0008516
60,15546.3,1.12512,0.78231,1.09267,0.80771,0.73188,0.79773,0.49965,1.11661,0.73516,1.14887,0.0008318,0.0008318,0.0008318
61,15798.5,1.10879,0.7517,1.08917,0.85544,0.70911,0.79256,0.48458,1.13126,0.75974,1.17926,0.000812,0.000812,0.000812
62,16051,1.10502,0.76467,1.09647,0.85287,0.70811,0.80054,0.50046,1.14493,0.77253,1.17994,0.0007922,0.0007922,0.0007922
63,16303.1,1.11809,0.76977,1.12421,0.81295,0.7236,0.79642,0.50176,1.12874,0.76647,1.16994,0.0007724,0.0007724,0.0007724
64,16553.1,1.1059,0.75115,1.09915,0.80628,0.70661,0.77242,0.47495,1.18096,0.81398,1.227,0.0007526,0.0007526,0.0007526
65,16802.8,1.09583,0.75533,1.09376,0.82278,0.69772,0.77701,0.47979,1.13373,0.77448,1.17276,0.0007328,0.0007328,0.0007328
66,17053.3,1.06134,0.75523,1.08442,0.81524,0.72625,0.78676,0.49298,1.12652,0.77017,1.15932,0.000713,0.000713,0.000713
67,17302.3,1.10014,0.75059,1.09638,0.81157,0.72231,0.80247,0.51018,1.09162,0.72971,1.14046,0.0006932,0.0006932,0.0006932
68,17555.3,1.05487,0.72934,1.07305,0.84534,0.74327,0.81295,0.51881,1.11876,0.72789,1.16439,0.0006734,0.0006734,0.0006734
69,17806.1,1.0685,0.72867,1.07849,0.83248,0.73706,0.81049,0.52211,1.09893,0.72012,1.14109,0.0006536,0.0006536,0.0006536
70,18056.5,1.04812,0.72553,1.07432,0.83352,0.74638,0.82118,0.53407,1.06249,0.67753,1.1126,0.0006338,0.0006338,0.0006338
71,18312.5,1.06539,0.71362,1.07147,0.84482,0.72567,0.80585,0.51217,1.10096,0.71025,1.13519,0.000614,0.000614,0.000614
72,18563.4,1.03395,0.7164,1.08084,0.80369,0.7205,0.78194,0.48798,1.14429,0.79338,1.20344,0.0005942,0.0005942,0.0005942
73,18816.7,1.07503,0.70485,1.0652,0.80829,0.73188,0.79218,0.50509,1.12148,0.76268,1.17101,0.0005744,0.0005744,0.0005744
74,19070.4,1.05676,0.70071,1.06807,0.82867,0.75602,0.8138,0.51691,1.08144,0.69328,1.14134,0.0005546,0.0005546,0.0005546
75,19324.1,1.05091,0.70293,1.06146,0.75488,0.7236,0.7653,0.46887,1.23069,0.91748,1.29501,0.0005348,0.0005348,0.0005348
76,19572.7,1.01759,0.69201,1.08083,0.83429,0.73499,0.79587,0.51471,1.07277,0.72571,1.1356,0.000515,0.000515,0.000515
77,19823.8,1.02632,0.67711,1.05736,0.82855,0.74543,0.8102,0.51814,1.06688,0.69703,1.11317,0.0004952,0.0004952,0.0004952
78,20075.8,1.05241,0.68765,1.04177,0.84784,0.75562,0.8238,0.53747,1.06903,0.68688,1.11733,0.0004754,0.0004754,0.0004754
79,20326,1.01714,0.66886,1.05816,0.82561,0.76915,0.82065,0.53254,1.06032,0.66486,1.11572,0.0004556,0.0004556,0.0004556
80,20574.6,1.02283,0.66626,1.07171,0.85913,0.73913,0.8229,0.53232,1.08661,0.67655,1.13864,0.0004358,0.0004358,0.0004358
81,20828.3,1.0518,0.68803,1.04824,0.81902,0.77743,0.82569,0.5418,1.05615,0.66443,1.10985,0.000416,0.000416,0.000416
